City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
10,Bogande,BF,77.95,few clouds,12.9714,-0.1436,Auberge Wendkouni
11,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
16,Dingle,PH,86.52,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
22,Bandarbeyla,SO,80.56,scattered clouds,9.4942,50.8122,JABIR HOTEL
25,Natchez,US,82.62,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
26,Karratha,AU,78.66,broken clouds,-20.7377,116.8463,ibis Styles Karratha
27,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
32,Algiers,DZ,78.62,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
34,Umm Lajj,SA,83.79,clear sky,25.0213,37.2685,Moon light Furnished Units
35,Roma,US,75.4,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
39,Hyeres,FR,75.33,clear sky,43.1167,6.1167,Hôtel des Palmiers
40,Shahr-E Babak,IR,79.39,clear sky,30.1165,55.1186,Duna Ecolodge
45,Airai,TL,77.31,few clouds,-8.9266,125.4092,Juvinal Martin
49,Bonthe,SL,75.97,light rain,7.5264,-12.505,Bonthe Holiday Village
50,Khuzdar,PK,84.31,broken clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
51,Eirunepe,BR,79.45,overcast clouds,-6.6603,-69.8736,Atrás de você
52,Astana,KZ,79.32,overcast clouds,51.1801,71.446,King Hotel Astana
53,Kushima,JP,82.44,light rain,31.4583,131.2333,Hanaoka
63,Columbus,US,79.0,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
68,Cardston,CA,77.47,clear sky,49.2,-113.3019,Flamingo Motel
69,Jalu,LY,76.06,clear sky,29.0331,21.5482,صاحبة الفخامة
80,Itarema,BR,75.65,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
81,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
82,Butaritari,KI,83.01,light rain,3.0707,172.7902,Isles Sunset Lodge
