City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Sayyan,YE,15.1718,44.3244,62.71,67,81,3.6,broken clouds,2021-07-25 03:06:58
1,Kahului,US,20.8947,-156.47,85.26,83,40,24.16,scattered clouds,2021-07-25 03:06:59
2,Rikitea,PF,-23.1203,-134.9692,69.49,56,0,0.18,clear sky,2021-07-25 03:06:59
3,Qaanaaq,GL,77.484,-69.3632,38.3,67,100,4.5,overcast clouds,2021-07-25 03:06:59
4,Sorland,NO,67.667,12.6934,52.65,94,100,13.22,overcast clouds,2021-07-25 03:07:00
5,Puerto Ayora,EC,-0.7393,-90.3518,72.55,88,5,8.01,clear sky,2021-07-25 03:07:00
6,Pevek,RU,69.7008,170.3133,37.36,85,51,17.31,broken clouds,2021-07-25 03:07:00
7,Lebu,CL,-37.6167,-73.65,50.36,89,98,23.73,light rain,2021-07-25 03:07:00
8,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,73.4,55,10,1.86,clear sky,2021-07-25 03:07:01
9,Nevel,RU,56.0209,29.9284,53.49,73,1,1.92,clear sky,2021-07-25 03:07:01
10,Bogande,BF,12.9714,-0.1436,77.95,73,11,7.63,few clouds,2021-07-25 03:07:01
11,Nishihara,JP,26.1842,127.7558,87.46,88,75,19.57,broken clouds,2021-07-25 03:07:02
12,La Massana,AD,42.5667,1.4833,53.73,78,41,1.01,scattered clouds,2021-07-25 03:07:02
13,Cape Town,ZA,-33.9258,18.4232,51.28,58,0,6.91,clear sky,2021-07-25 03:07:02
14,Nikolskoye,RU,59.7035,30.7861,59.81,55,100,5.46,overcast clouds,2021-07-25 03:02:28
15,Busselton,AU,-33.65,115.3333,63.05,67,71,19.28,broken clouds,2021-07-25 03:04:09
16,Dingle,PH,10.9995,122.6711,86.52,68,82,18.48,broken clouds,2021-07-25 03:07:03
17,Aripuana,BR,-9.1667,-60.6333,75.07,51,35,1.41,scattered clouds,2021-07-25 03:05:09
18,Leningradskiy,RU,69.3833,178.4167,36.3,96,100,6.31,overcast clouds,2021-07-25 03:07:03
19,Provideniya,RU,64.3833,-173.3,47.77,98,100,11.95,light rain,2021-07-25 03:07:03
20,Huarmey,PE,-10.0681,-78.1522,63.21,87,70,5.88,broken clouds,2021-07-25 03:07:04
21,Ushuaia,AR,-54.8,-68.3,38.86,75,75,2.3,broken clouds,2021-07-25 03:07:04
22,Bandarbeyla,SO,9.4942,50.8122,80.56,55,35,23.55,scattered clouds,2021-07-25 03:07:04
23,Bluff,NZ,-46.6,168.3333,51.8,72,100,10.83,moderate rain,2021-07-25 03:07:05
24,Hobart,AU,-42.8794,147.3294,44.46,80,75,4.0,broken clouds,2021-07-25 03:07:05
25,Natchez,US,31.5604,-91.4032,82.62,89,1,0.0,clear sky,2021-07-25 03:07:05
26,Karratha,AU,-20.7377,116.8463,78.66,32,69,11.32,broken clouds,2021-07-25 03:07:05
27,Atuona,PF,-9.8,-139.0333,78.42,70,15,17.85,few clouds,2021-07-25 03:07:06
28,Aklavik,CA,68.2191,-135.0107,66.11,49,83,13.44,broken clouds,2021-07-25 03:07:06
29,Kruisfontein,ZA,-34.0033,24.7314,46.49,37,13,9.51,few clouds,2021-07-25 03:07:06
30,Mahebourg,MU,-20.4081,57.7,67.24,72,47,14.72,scattered clouds,2021-07-25 03:07:06
31,Babati,TZ,-4.2167,35.75,50.49,91,0,2.86,clear sky,2021-07-25 03:07:07
32,Algiers,DZ,36.7525,3.042,78.62,61,40,3.44,scattered clouds,2021-07-25 03:05:58
33,Areosa,PT,41.7178,-8.8571,64.33,91,100,4.9,overcast clouds,2021-07-25 03:07:07
34,Umm Lajj,SA,25.0213,37.2685,83.79,44,0,5.66,clear sky,2021-07-25 03:07:07
35,Roma,US,43.2128,-75.4557,75.4,69,90,5.75,overcast clouds,2021-07-25 03:07:08
36,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,2.8,overcast clouds,2021-07-25 03:03:11
37,East London,ZA,-33.0153,27.9116,51.31,48,0,8.99,clear sky,2021-07-25 03:07:08
38,Thompson,CA,55.7435,-97.8558,59.16,100,75,6.91,mist,2021-07-25 03:07:08
39,Hyeres,FR,43.1167,6.1167,75.33,69,0,3.44,clear sky,2021-07-25 03:07:09
40,Shahr-E Babak,IR,30.1165,55.1186,79.39,14,2,8.97,clear sky,2021-07-25 03:07:09
41,Khatanga,RU,71.9667,102.5,61.48,45,65,22.08,broken clouds,2021-07-25 03:07:09
42,Port Alfred,ZA,-33.5906,26.891,53.46,42,1,9.62,clear sky,2021-07-25 03:07:09
43,Evreux,FR,49.0241,1.1508,63.41,94,75,9.22,broken clouds,2021-07-25 03:07:10
44,Barrow,US,71.2906,-156.7887,44.62,81,90,4.61,overcast clouds,2021-07-25 03:07:10
45,Airai,TL,-8.9266,125.4092,77.31,21,19,3.91,few clouds,2021-07-25 03:07:10
46,Olden,NO,61.8364,6.8064,62.28,88,76,0.89,broken clouds,2021-07-25 03:07:10
47,Saposoa,PE,-6.934,-76.7716,70.9,82,7,3.11,clear sky,2021-07-25 03:07:11
48,Nouadhibou,MR,20.931,-17.0347,68.67,90,8,14.41,clear sky,2021-07-25 03:07:11
49,Bonthe,SL,7.5264,-12.505,75.97,85,100,7.76,light rain,2021-07-25 03:07:11
50,Khuzdar,PK,27.7384,66.6434,84.31,44,55,3.0,broken clouds,2021-07-25 03:07:11
51,Eirunepe,BR,-6.6603,-69.8736,79.45,57,88,2.39,overcast clouds,2021-07-25 03:07:12
52,Astana,KZ,51.1801,71.446,79.32,36,93,11.72,overcast clouds,2021-07-25 03:07:12
53,Kushima,JP,31.4583,131.2333,82.44,71,100,13.42,light rain,2021-07-25 03:07:12
54,Clyde River,CA,70.4692,-68.5914,32.23,100,90,17.27,mist,2021-07-25 03:02:58
55,Punta Arenas,CL,-53.15,-70.9167,37.11,86,100,14.65,overcast clouds,2021-07-25 03:02:32
56,Jamestown,US,42.097,-79.2353,72.99,83,20,4.0,few clouds,2021-07-25 03:07:09
57,Souillac,MU,-20.5167,57.5167,67.35,74,53,13.02,broken clouds,2021-07-25 03:07:13
58,Tres Pontas,BR,-21.3667,-45.5125,53.31,52,0,4.54,clear sky,2021-07-25 03:04:37
